,index,table_id,annotator_id,premise,hypothesis,label,premise_cleaned,Rel_with_toks
0,0,T12,GW0, The Government of Faroe Islands are Devolved government  within  parliamentary constitutional monarchy.  The Monarch  of Faroe Islands are Margrethe II.  The High Commissioner  of Faroe Islands are Lene Moyell Johansen.  The Prime Minister  of Faroe Islands are Aksel V. Johannesen. ,Aksel V. Johannesen serves in the Faroe Islands government.,2,the government of faroe islands are devolved government  within  parliamentary constitutional monarchy .   the monarch  of faroe islands are margrethe ii .   the high commissioner  of faroe islands are lene moyell johansen .   the prime minister  of faroe islands are aksel v .  johannesen . ,"[(('within', 8), ('v', 1), 0, ['Synonym']), (('monarchy', 11), ('government', 9), 0, ['IsA', 'RelatedTo']), (('commissioner', 24), ('government', 9), 0, ['RelatedTo']), (('minister', 35), ('government', 9), 0, ['RelatedTo'])]"
1,1,T12,GW0," The Official languages of Faroe Islands are Faroese, and Danish.  The Demonym(s) of Faroe Islands are Faroe Islander, and Faroese.  The Government of Faroe Islands are Devolved government  within  parliamentary constitutional monarchy.  The High Commissioner  of Faroe Islands are Lene Moyell Johansen. ",More people in Faroe Islands speak Danish than Faroese.,1,"the official languages of faroe islands are faroese ,  and danish .   the demonym ( s )  of faroe islands are faroe islander ,  and faroese .   the government of faroe islands are devolved government  within  parliamentary constitutional monarchy .   the high commissioner  of faroe islands are lene moyell johansen . ","[(('faroese', 8), ('faroe', 4), 1, ['DerivedFrom']), (('faroese', 7), ('faroe', 3), 0, ['DerivedFrom']), (('faroese', 8), ('faroe', 18), 1, ['DerivedFrom']), (('faroese', 8), ('faroe', 21), 1, ['DerivedFrom']), (('faroese', 25), ('faroe', 3), 0, ['DerivedFrom']), (('government', 28), ('people', 1), 0, ['RelatedTo']), (('faroese', 8), ('faroe', 30), 1, ['DerivedFrom']), (('government', 34), ('people', 1), 0, ['RelatedTo']), (('faroese', 8), ('faroe', 44), 1, ['DerivedFrom'])]"
2,2,T12,GW0," The Capital and largest city of Faroe Islands are Torshavn 62°00′N 06°47′W / 62.000°N 6.783°W.  The Official languages of Faroe Islands are Faroese, and Danish.  The Government of Faroe Islands are Devolved government  within  parliamentary constitutional monarchy.  The Prime Minister  of Faroe Islands are Aksel V. Johannesen. ",Faroe Islands only has one official language.,0,"the capital and largest city of faroe islands are torshavn 62 ° 00 ′ n 06 ° 47 ′ w  /  62 . 000 ° n 6 . 783 ° w .   the official languages of faroe islands are faroese ,  and danish .   the government of faroe islands are devolved government  within  parliamentary constitutional monarchy .   the prime minister  of faroe islands are aksel v .  johannesen . ","[(('6', 26), ('one', 4), 0, ['Co-Hyponym']), (('one', 4), ('6', 26), 1, ['Co-Hyponym']), (('languages', 34), ('language', 6), 0, ['FormOf', 'RelatedTo']), (('faroese', 39), ('faroe', 0), 0, ['DerivedFrom']), (('danish', 42), ('language', 6), 0, ['RelatedTo']), (('minister', 59), ('official', 5), 0, ['Hypernym', 'RelatedTo']), (('official', 5), ('minister', 59), 1, ['Hyponym'])]"
3,3,T12,GW1," The Capital and largest city of Faroe Islands are Torshavn 62°00′N 06°47′W / 62.000°N 6.783°W.  The Official languages of Faroe Islands are Faroese, and Danish.  The Government of Faroe Islands are Devolved government  within  parliamentary constitutional monarchy.  The Prime Minister  of Faroe Islands are Aksel V. Johannesen. ",The Faroe Islands has more than one official language.,2,"the capital and largest city of faroe islands are torshavn 62 ° 00 ′ n 06 ° 47 ′ w  /  62 . 000 ° n 6 . 783 ° w .   the official languages of faroe islands are faroese ,  and danish .   the government of faroe islands are devolved government  within  parliamentary constitutional monarchy .   the prime minister  of faroe islands are aksel v .  johannesen . ","[(('6', 26), ('one', 6), 0, ['Co-Hyponym']), (('one', 6), ('6', 26), 1, ['Co-Hyponym']), (('languages', 34), ('language', 8), 0, ['FormOf', 'RelatedTo']), (('faroese', 39), ('faroe', 1), 0, ['DerivedFrom']), (('danish', 42), ('language', 8), 0, ['RelatedTo']), (('minister', 59), ('official', 7), 0, ['Hypernym', 'RelatedTo']), (('official', 7), ('minister', 59), 1, ['Hyponym'])]"
4,4,T12,GW1, The Capital and largest city of Faroe Islands are Torshavn 62°00′N 06°47′W / 62.000°N 6.783°W.  The Government of Faroe Islands are Devolved government  within  parliamentary constitutional monarchy.  The High Commissioner  of Faroe Islands are Lene Moyell Johansen.  The Prime Minister  of Faroe Islands are Aksel V. Johannesen. ,"If the High Commissioner passes away in the Faroe Islands, then the Prime Minister will take over that role.",1,the capital and largest city of faroe islands are torshavn 62 ° 00 ′ n 06 ° 47 ′ w  /  62 . 000 ° n 6 . 783 ° w .   the government of faroe islands are devolved government  within  parliamentary constitutional monarchy .   the high commissioner  of faroe islands are lene moyell johansen .   the prime minister  of faroe islands are aksel v .  johannesen . ,"[(('capital', 1), ('prime', 13), 0, ['RelatedTo']), (('capital', 1), ('role', 19), 0, ['RelatedTo']), (('city', 4), ('high', 2), 0, ['RelatedTo']), (('commissioner', 3), ('government', 33), 1, ['RelatedTo']), (('minister', 14), ('government', 33), 1, ['RelatedTo']), (('commissioner', 3), ('government', 39), 1, ['RelatedTo']), (('minister', 14), ('government', 39), 1, ['RelatedTo']), (('parliamentary', 41), ('minister', 14), 0, ['RelatedTo']), (('minister', 14), ('high', 46), 1, ['RelatedTo']), (('minister', 14), ('prime', 57), 1, ['RelatedTo']), (('minister', 58), ('high', 2), 0, ['RelatedTo']), (('minister', 58), ('prime', 13), 0, ['RelatedTo']), (('minister', 58), ('role', 19), 0, ['RelatedTo'])]"
5,5,T12,GW1," The Religion of Faroe Islands are Church of the Faroe Islands.  The Official languages of Faroe Islands are Faroese, and Danish.  The Government of Faroe Islands are Devolved government  within  parliamentary constitutional monarchy.  The Prime Minister  of Faroe Islands are Aksel V. Johannesen. ",The Faroe Islands has more than one official religion.,0,"the religion of faroe islands are church of the faroe islands .   the official languages of faroe islands are faroese ,  and danish .   the government of faroe islands are devolved government  within  parliamentary constitutional monarchy .   the prime minister  of faroe islands are aksel v .  johannesen . ","[(('church', 6), ('religion', 8), 0, ['Hypernym', 'IsA', 'RelatedTo']), (('religion', 8), ('church', 6), 1, ['RelatedTo', 'Hyponym']), (('faroese', 19), ('faroe', 1), 0, ['DerivedFrom']), (('minister', 39), ('official', 7), 0, ['Hypernym', 'RelatedTo']), (('official', 7), ('minister', 39), 1, ['Hyponym']), (('minister', 39), ('religion', 8), 0, ['RelatedTo', 'HasContext'])]"
6,6,T12,GW4, The Capital and largest city of Faroe Islands are Torshavn 62°00′N 06°47′W / 62.000°N 6.783°W.  The Government of Faroe Islands are Devolved government  within  parliamentary constitutional monarchy.  The Monarch  of Faroe Islands are Margrethe II.  The Prime Minister  of Faroe Islands are Aksel V. Johannesen. ,The monarch of the Faroe Islands is Margethe II,2,the capital and largest city of faroe islands are torshavn 62 ° 00 ′ n 06 ° 47 ′ w  /  62 . 000 ° n 6 . 783 ° w .   the government of faroe islands are devolved government  within  parliamentary constitutional monarchy .   the monarch  of faroe islands are margrethe ii .   the prime minister  of faroe islands are aksel v .  johannesen . ,"[(('monarchy', 43), ('monarch', 1), 0, ['RelatedTo', 'DerivedFrom']), (('monarch', 1), ('monarchy', 43), 1, ['RelatedTo'])]"
7,7,T12,GW4," The Capital and largest city of Faroe Islands are Torshavn 62°00′N 06°47′W / 62.000°N 6.783°W.  The Official languages of Faroe Islands are Faroese, and Danish.  The Demonym(s) of Faroe Islands are Faroe Islander, and Faroese.  The Government of Faroe Islands are Devolved government  within  parliamentary constitutional monarchy. ",Many people on the Faroe Islands speak Faroese.,1,"the capital and largest city of faroe islands are torshavn 62 ° 00 ′ n 06 ° 47 ′ w  /  62 . 000 ° n 6 . 783 ° w .   the official languages of faroe islands are faroese ,  and danish .   the demonym ( s )  of faroe islands are faroe islander ,  and faroese .   the government of faroe islands are devolved government  within  parliamentary constitutional monarchy . ","[(('capital', 1), ('people', 1), 0, ['RelatedTo']), (('city', 4), ('people', 1), 0, ['RelatedTo', 'UsedFor']), (('people', 1), ('city', 4), 1, ['AtLocation']), (('faroese', 7), ('faroe', 6), 1, ['DerivedFrom']), (('faroese', 7), ('faroe', 36), 1, ['DerivedFrom']), (('faroese', 39), ('faroe', 4), 0, ['DerivedFrom']), (('faroese', 7), ('faroe', 50), 1, ['DerivedFrom']), (('faroese', 7), ('faroe', 53), 1, ['DerivedFrom']), (('faroese', 57), ('faroe', 4), 0, ['DerivedFrom']), (('government', 60), ('people', 1), 0, ['RelatedTo']), (('faroese', 7), ('faroe', 62), 1, ['DerivedFrom']), (('government', 66), ('people', 1), 0, ['RelatedTo'])]"
8,8,T12,GW4, The Capital and largest city of Faroe Islands are Torshavn 62°00′N 06°47′W / 62.000°N 6.783°W.  The Monarch  of Faroe Islands are Margrethe II.  The High Commissioner  of Faroe Islands are Lene Moyell Johansen.  The Prime Minister  of Faroe Islands are Aksel V. Johannesen. ,The Faroe Islands are led by Lene Moyell Johnansen.,0,the capital and largest city of faroe islands are torshavn 62 ° 00 ′ n 06 ° 47 ′ w  /  62 . 000 ° n 6 . 783 ° w .   the monarch  of faroe islands are margrethe ii .   the high commissioner  of faroe islands are lene moyell johansen .   the prime minister  of faroe islands are aksel v .  johannesen . ,
9,9,T13,GW0," Fearless was Released on November 11, 2008  ( 2008-11-11 ).  The Recorded of Fearless are 2007 - 2008.  The Length of Fearless are 53 : 41.  The Producer of Fearless are Scott Borchetta  (exec.) , Nathan Chapman , and Taylor Swift.  ",Fearless is over 50 minutes in length.,2,"fearless was released on november 11 ,  2008   (  2008 - 11 - 11  )  .   the recorded of fearless are 2007  -  2008 .   the length of fearless are 53  :  41 .   the producer of fearless are scott borchetta   ( exec .  )   ,  nathan chapman  ,  and taylor swift . ","[(('11', 5), ('50', 3), 0, ['Co-Hyponym']), (('50', 3), ('11', 5), 1, ['Co-Hyponym']), (('11', 11), ('50', 3), 0, ['Co-Hyponym']), (('50', 3), ('11', 11), 1, ['Co-Hyponym']), (('11', 13), ('50', 3), 0, ['Co-Hyponym']), (('50', 3), ('11', 13), 1, ['Co-Hyponym'])]"
